id,code,title_en,title_ko,released_on,country,fscreen,preview,ani,naver,youtube,fweek,expectation,percent_error,URL,created_at,updated_at
49,20149591,Magic In The Moonlight,매직 인 더 문라이트,2014-08-20,미국,178,5795,0,1000,14895,48409,68498.723883,41.499977035262,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=109104,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
125,20147691,Any Day Now,초콜렛 도넛,2014-10-02,미국,53,3157,0,1137,9162,15939,22677.6536988,42.277769614154,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=93236,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
8,20165561,Norm Of The North,빅,2016-07-27,미국,323,1223,1,561,2376,152358,86444.0308264,43.2625586930782,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=133479,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
24,20149511,Bunshinsaba 2,분신사바 2,2014-07-16,중국,205,214,0,976,5532,77695,42895.4031488,44.7900081745286,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=103752,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
43,20145042,Still Alice,스틸 앨리스,2015-04-29,미국,79,3518,0,900,9059,51941,28584.6658066,44.9670475990066,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=120759,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
2,20155563,The Little Prince,어린왕자,2015-12-23,프랑스,442,5579,1,4537,44385,360538,198281.965791,45.0038648378257,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=114265,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
108,20154521,Ruth & Alex,브루클린의 멋진 주말,2016-01-21,미국,98,895,0,306,1368,19643,10730.1202932,45.3743303303976,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=118310,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
151,20164094,A Bride for Rip Van Winkle,립반윙클의 신부,2016-09-28,일본,63,811,0,742,2596,11855,6447.1220124,45.6168535436525,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=150551,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
14,20150942,Carol,캐롤,2016-02-04,미국,153,4342,0,1191,27237,122888,63579.2468818,48.262444761246,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=101962,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
144,20157421,The Good lie,뷰티풀 라이,2015-03-26,미국,91,534,0,254,671,12567,6347.9677874,49.4870073414498,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=109473,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
221,20158192,Ghosthunters: On Icy Trails,고스트 헌터: 얼음 몬스터의 부활,2016-02-25,독일,58,609,0,396,6824,6173,3101.0563316,49.7641935590475,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=143213,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
